latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.06276,-87.91879,300.83,0.74,0.76,2024-04-15,632,N,VIIRS,n,2,290.01,1.07,N,0
18.54306,-88.91528,302.47,0.42,0.61,2024-04-15,813,N,VIIRS,n,2,291.63,0.88,N,0
19.08713,-89.18562,304.25,0.39,0.59,2024-04-15,813,N,VIIRS,n,2,292.03,1.62,N,0
19.08871,-89.19305,304.52,0.39,0.59,2024-04-15,813,N,VIIRS,n,2,292.29,1.15,N,0
19.09254,-89.18433,302.49,0.39,0.59,2024-04-15,813,N,VIIRS,n,2,291.97,0.98,N,0
19.09334,-89.18808,303.49,0.39,0.59,2024-04-15,813,N,VIIRS,n,2,292.21,0.98,N,0
19.09412,-89.19176,303.12,0.39,0.59,2024-04-15,813,N,VIIRS,n,2,292.07,1.72,N,0
19.54391,-89.37045,304.18,0.37,0.58,2024-04-15,813,N,VIIRS,n,2,291.74,1.27,N,0
19.79902,-89.11623,303.25,0.38,0.59,2024-04-15,813,N,VIIRS,n,2,291.76,0.74,N,0
19.79981,-89.11988,307.84,0.38,0.59,2024-04-15,813,N,VIIRS,n,2,292.03,0.74,N,0
19.80517,-89.11859,309.23,0.38,0.59,2024-04-15,813,N,VIIRS,n,2,291.8,0.84,N,0
19.91337,-89.70153,302.52,0.35,0.57,2024-04-15,813,N,VIIRS,n,2,291.39,0.87,N,0
20.54767,-88.8437,304.1,0.38,0.59,2024-04-15,813,N,VIIRS,n,2,290.89,0.58,N,0
20.9432,-89.66451,313.64,0.33,0.56,2024-04-15,813,N,VIIRS,n,2,293.88,0.77,N,2
20.94586,-89.66373,308.47,0.33,0.56,2024-04-15,813,N,VIIRS,n,2,293.8,0.37,N,2
21.06387,-87.91827,303.94,0.43,0.62,2024-04-15,813,N,VIIRS,n,2,290.56,0.67,N,0
21.37258,-87.2795,300.55,0.46,0.64,2024-04-15,813,N,VIIRS,n,2,288.21,0.35,N,0
17.57499,-90.70271,302.63,0.33,0.56,2024-04-15,814,N,VIIRS,n,2,291.75,0.76,N,0
17.57564,-90.70586,316.34,0.33,0.56,2024-04-15,814,N,VIIRS,n,2,291.74,0.76,N,0
17.57833,-90.70368,305.36,0.33,0.56,2024-04-15,814,N,VIIRS,n,2,292.27,0.89,N,0
17.57895,-90.70683,305.5,0.33,0.56,2024-04-15,814,N,VIIRS,n,2,291.85,0.89,N,0
17.60031,-90.89217,311.03,0.32,0.55,2024-04-15,814,N,VIIRS,n,2,291.55,0.72,N,0
17.60531,-90.89104,307.68,0.32,0.55,2024-04-15,814,N,VIIRS,n,2,291.8,0.72,N,0
17.68546,-90.68413,311.53,0.33,0.55,2024-04-15,814,N,VIIRS,n,2,291.74,0.88,N,0
17.68773,-90.6839,304.71,0.33,0.55,2024-04-15,814,N,VIIRS,n,2,292.14,0.64,N,0
18.05705,-90.30559,316.73,0.35,0.56,2024-04-15,814,N,VIIRS,n,2,291.74,2.5,N,0
18.06357,-90.31099,317.42,0.35,0.56,2024-04-15,814,N,VIIRS,n,2,292.44,2.12,N,0
18.35993,-91.14682,339.82,0.6,0.53,2024-04-15,814,N,VIIRS,n,2,293.56,6.42,N,0
18.3806,-88.63795,305.26,0.44,0.62,2024-04-15,814,N,VIIRS,n,2,291.18,0.82,N,0
18.3872,-91.39756,307.78,0.58,0.52,2024-04-15,814,N,VIIRS,n,2,292.62,1.31,N,0
18.38792,-91.13467,303.97,0.6,0.53,2024-04-15,814,N,VIIRS,n,2,292.88,0.85,N,0
18.39045,-91.3959,309.66,0.58,0.52,2024-04-15,814,N,VIIRS,n,2,292.88,1.76,N,0
17.51526,-90.54828,339.07,0.41,0.37,2024-04-15,1924,N,VIIRS,l,2,311.18,5.86,D,0
17.52018,-91.07331,337.2,0.4,0.37,2024-04-15,1924,N,VIIRS,l,2,309.46,2.22,D,0
17.53916,-91.47717,341.83,0.39,0.36,2024-04-15,1924,N,VIIRS,l,2,316.03,60.73,D,0
17.57028,-91.26164,341.65,0.4,0.37,2024-04-15,1924,N,VIIRS,n,2,306.99,4.91,D,0
17.57201,-90.63585,341.53,0.41,0.37,2024-04-15,1924,N,VIIRS,n,2,309.99,6.01,D,0
17.57359,-90.52467,344.4,0.42,0.37,2024-04-15,1924,N,VIIRS,n,2,308.8,7.14,D,0
17.57467,-88.37243,332.54,0.52,0.41,2024-04-15,1924,N,VIIRS,n,2,300.98,3.46,D,0
